date-time,path,dung-luong(kb),thoi-gian(s),ngon-ngu,path,so-tu,so-cau,so-tu,so-cau,algorithm_summary,processing Time,predict text classification,R1-Recall,R1-Precision,R1-F1-score,R2-Recall,R2-Precision,R2-F1-score,Rl-Recall,Rl-Precision,Rl-F1-score
20230620_080105, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,40,2, edmundson,11.94696355, chinh_tri_xa_hoi,0.182320442,1,0.308411212,0.117834395,0.973684211,0.210227271,0.182320442,1,0.308411212
20230620_080121, vi/5.mp4,6637,120.79, vi, vi/5_vi.txt,364,10,76,2, kl,11.15355182, chinh_tri_xa_hoi,0.287292818,1,0.446351928,0.219745223,1,0.360313313,0.287292818,1,0.446351928
20230620_080135, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,80,2, lexrank,47.48595738, chinh_tri_xa_hoi,0.478991597,1,0.647727268,0.413043478,1,0.58461538,0.478991597,1,0.647727268
20230620_080228, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,80,2, textrank,15.58040428, chinh_tri_xa_hoi,0.478991597,1,0.647727268,0.413043478,1,0.58461538,0.478991597,1,0.647727268
20230620_080248, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,73,2, lsa,10.67405438, chinh_tri_xa_hoi,0.403361345,1,0.574850295,0.35326087,1,0.52208835,0.403361345,1,0.574850295
20230620_080302, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,112,2, luhn,16.80976081, chinh_tri_xa_hoi,0.554621849,1,0.713513509,0.543478261,0.99009901,0.701754381,0.554621849,1,0.713513509
20230620_080323, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,88,2, edmundson,9.816363096, chinh_tri_xa_hoi,0.495798319,1,0.662921344,0.445652174,0.987951807,0.614232205,0.495798319,1,0.662921344
20230620_080336, vi/6.mp4,4055,76, vi, vi/6_vi.txt,202,5,80,2, kl,15.54218841, chinh_tri_xa_hoi,0.478991597,1,0.647727268,0.413043478,1,0.58461538,0.478991597,1,0.647727268
20230620_080355, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,72,2, lexrank,32.4102695, phap_luat,0.542857143,1,0.703703699,0.455172414,1,0.625592413,0.542857143,1,0.703703699
20230620_080431, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,72,2, textrank,9.50829792, phap_luat,0.542857143,1,0.703703699,0.455172414,1,0.625592413,0.542857143,1,0.703703699
20230620_080444, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,50,2, lsa,10.15424299, phap_luat,0.371428571,1,0.541666663,0.324137931,1,0.48958333,0.371428571,1,0.541666663
20230620_080458, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,72,2, luhn,8.509943962, phap_luat,0.542857143,1,0.703703699,0.468965517,0.985507246,0.635514014,0.542857143,1,0.703703699
20230620_080509, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,65,2, edmundson,9.397070408, phap_luat,0.485714286,1,0.653846149,0.420689655,0.983870968,0.589371976,0.485714286,1,0.653846149
20230620_080522, vi/7.mp4,3329,45.5, vi, vi/7_vi.txt,152,5,65,2, kl,12.2874155, phap_luat,0.485714286,1,0.653846149,0.420689655,0.983870968,0.589371976,0.485714286,1,0.653846149
20230620_080538, vi/8.mp4,3323,67.18, vi, vi/8_vi.txt,163,4,89,2, lexrank,51.61980152, chinh_tri_xa_hoi,0.626168224,1,0.770114938,0.548611111,0.9875,0.705357138,0.626168224,1,0.770114938
20230620_080634, vi/8.mp4,3323,67.18, vi, vi/8_vi.txt,163,4,89,2, textrank,8.936436892, chinh_tri_xa_hoi,0.626168224,1,0.770114938,0.548611111,0.9875,0.705357138,0.626168224,1,0.770114938
20230620_080647, vi/8.mp4,3323,67.18, vi, vi/8_vi.txt,163,4,74,2, lsa,10.14261055, chinh_tri_xa_hoi,0.523364486,1,0.68711656,0.479166667,1,0.64788732,0.523364486,1,0.68711656
20230620_080702, vi/8.mp4,3323,67.18, vi, vi/8_vi.txt,163,4,120,2, luhn,9.304007053, chinh_tri_xa_hoi,0.76635514,1,0.867724863,0.75,1,0.857142852,0.76635514,1,0.867724863
20230620_080714, vi/8.mp4,3323,67.18, vi, vi/8_vi.txt,163,4,89,2, edmundson,8.722002983, chinh_tri_xa_hoi,0.626168224,1,0.770114938,0.548611111,0.9875,0.705357138,0.626168224,1,0.770114938
20230620_080726, vi/8.mp4,3323,67.18, vi, vi/8_vi.txt,163,4,43,2, kl,8.77163434, chinh_tri_xa_hoi,0.327102804,1,0.492957743,0.277777778,1,0.434782605,0.327102804,1,0.492957743
20230620_080739, vi/9.mp4,3282,44.74, vi, vi/9_vi.txt,140,3,93,2, lexrank,28.76856136, phap_luat,0.717391304,1,0.835443033,0.661417323,1,0.796208526,0.717391304,1,0.835443033
20230620_080811, vi/9.mp4,3282,44.74, vi, vi/9_vi.txt,140,3,93,2, textrank,8.368453503, phap_luat,0.717391304,1,0.835443033,0.661417323,1,0.796208526,0.717391304,1,0.835443033
20230620_080822, vi/9.mp4,3282,44.74, vi, vi/9_vi.txt,140,3,93,2, lsa,8.436208963, phap_luat,0.717391304,1,0.835443033,0.661417323,1,0.796208526,0.717391304,1,0.835443033
20230620_080834, vi/9.mp4,3282,44.74, vi, vi/9_vi.txt,140,3,93,2, luhn,9.056717157, phap_luat,0.717391304,1,0.835443033,0.661417323,1,0.796208526,0.717391304,1,0.835443033
20230620_080846, vi/9.mp4,3282,44.74, vi, vi/9_vi.txt,140,3,91,2, edmundson,10.29242063, phap_luat,0.663043478,1,0.797385616,0.637795276,0.987804878,0.775119612,0.663043478,1,0.797385616
20230620_080900, vi/9.mp4,3282,44.74, vi, vi/9_vi.txt,140,3,96,2, kl,8.171962738, phap_luat,0.77173913,1,0.871165639,0.716535433,1,0.83486238,0.77173913,1,0.871165639
20230620_080911, vi/10.mp4,2510,48.32, vi, vi/10_vi.txt,12,2,12,2, lexrank,25.46302843, van_hoa,,,,,,,,,
20230620_080940, vi/10.mp4,2510,48.32, vi, vi/10_vi.txt,12,2,12,2, textrank,7.842526913, van_hoa,,,,,,,,,
20230620_080951, vi/10.mp4,2510,48.32, vi, vi/10_vi.txt,12,2,12,2, lsa,8.031611681, van_hoa,,,,,,,,,
20230620_081003, vi/10.mp4,2510,48.32, vi, vi/10_vi.txt,12,2,12,2, luhn,7.860429049, van_hoa,,,,,,,,,
20230620_081014, vi/10.mp4,2510,48.32, vi, vi/10_vi.txt,12,2,12,2, edmundson,7.930629492, van_hoa,,,,,,,,,
20230620_081025, vi/10.mp4,2510,48.32, vi, vi/10_vi.txt,12,2,12,2, kl,7.820123196, van_hoa,,,,,,,,,
20230620_081036, vi/11.mp4,4339,59.67, vi, vi/11_vi.txt,163,5,38,2, lexrank,46.26406193, the_thao,0.316326531,1,0.480620151,0.246666667,1,0.395721922,0.316326531,1,0.480620151
20230620_081125, vi/11.mp4,4339,59.67, vi, vi/11_vi.txt,163,5,38,2, textrank,8.684782743, the_thao,0.316326531,1,0.480620151,0.246666667,1,0.395721922,0.316326531,1,0.480620151
20230620_100323, vi/11.mp4,4339,59.67, vi, vi/11_vi.txt,163,5,59,2, lsa,8.810979366, the_thao,0.408163265,1,0.579710141,0.36,0.981818182,0.526829264,0.408163265,1,0.579710141
